DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",14 m,5 m,70 m²,70 m²,,"- 59,29 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,15 tỷ"
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",10 m,6 m,60 m²,60 m²,,- 75 triệu/m²,3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,5 tỷ"
"Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,40 m²,,"- 117,50 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,7 tỷ"
"Đường Phan Cát Tựu, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",10 m,6 m,60 m²,60 m²,,- 70 triệu/m²,4 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,2 tỷ"
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",14.5 m,4 m,58 m²,58 m²,,"- 77,59 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,5 tỷ"
"Đường Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",14 m,4.2 m,60 m²,60 m²,,"- 88,33 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,3 tỷ"
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4.3 m,63 m²,63 m²,200 m²,"- 112,70 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"7,1 tỷ"
"Đường Bình Trị Đông, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,60 m²,180 m²,"- 94,17 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"5,65 tỷ"
"Nguyễn Thi Tú, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,99.5 m²,"- 46,50 triệu/m²",5 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,65 tỷ"
"Đường Mã Lò, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",13.5 m,4 m,53 m²,53 m²,194 m²,"- 109,43 triệu/m²",5 phòng,5.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,8 tỷ"
"24, Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",14.5 m,4 m,58 m²,58 m²,198 m²,"- 87,07 triệu/m²",4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Hoàn thiện cơ bản,"5,05 tỷ"
"Đường Số 20, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",,,48 m²,48 m²,,"- 108,33 triệu/m²",3 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"5,2 tỷ"
"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",10 m,3.5 m,36 m²,36 m²,36 m²,"- 109,72 triệu/m²",4 phòng,4.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"3,95 tỷ"
"Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,64 m²,64 m²,"- 66,39 triệu/m²",4 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"4,249 tỷ"
"Đường Gò Xoài, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,64 m²,,"- 93,59 triệu/m²",5 phòng,,6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,99 tỷ"
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",14 m,5 m,70 m²,70 m²,,"- 78,57 triệu/m²",3 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,5 tỷ"
"Đường Dương Tự Quán, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",18 m,4 m,72 m²,72 m²,,"- 112,50 triệu/m²",4 phòng,3.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông Nam,Nội thất cao cấp,"8,1 tỷ"
"Đường số 7, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4 m,80 m²,80 m²,,"- 91,25 triệu/m²",4 phòng,4.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông Nam,Nội thất đầy đủ,"7,3 tỷ"
"Đường Số 6, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4 m,80 m²,80 m²,,"- 91,25 triệu/m²",4 phòng,4.0,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông,Nội thất đầy đủ,"7,3 tỷ"
"Đường số 1, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,60 m²,,"- 128,33 triệu/m²",3 phòng,2.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây Bắc,Nội thất đầy đủ,"7,7 tỷ"
"Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",7 m,3.4 m,24 m²,24 m²,48 m²,"- 124,58 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"2,99 tỷ"
"Đường Tỉnh lộ 10, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",5.4 m,2.5 m,14 m²,14 m²,28 m²,"- 85,71 triệu/m²",2 phòng,2.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"1,2 tỷ"
"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",6.5 m,4.5 m,29.25 m²,29.25 m²,58.5 m²,"- 94,02 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,75 tỷ"
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",19 m,4 m,78 m²,78 m²,,"- 96,15 triệu/m²",5 phòng,2.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất cao cấp,"7,5 tỷ"
