chieuDai,chieuNgang,dienTich,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Phuong
16.0,4.0,65.0,1570.4166666666667,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hoà b
15.0,4.0,60.0,3465.4166666666665,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông a
10.0,4.0,72.0,2777.9166666666665,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường an lạc
18.0,4.0,72.0,3350.8333333333335,5,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông a
8.12403840463596,8.12403840463596,66.0,3775.4166666666665,4,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hòa
8.0,3.0,23.0,4982.083333333333,2,3.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà a
23.0,4.0,92.4,3517.5,5,1.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường bình trị đông b
15.0,4.0,60.0,3194.5833333333335,1,1.0,1.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hoà b
14.0,4.0,56.0,3682.9166666666665,4,4.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà a
20.0,5.0,100.0,4791.666666666667,5,2.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường bình trị đông b
23.0,4.0,92.0,4529.166666666667,2,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường bình hưng hoà a
8.0,9.0,67.0,3905.4166666666665,5,6.0,6.0,"nhà ngõ, hẻm",đã có sổ,,phường bình trị đông b
9.0,4.0,36.0,3587.9166666666665,2,1.0,1.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường tân tạo
8.2,5.8,47.0,3058.3333333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường bình trị đông
20.0,10.0,200.0,1583.3333333333333,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hoà b
4.0,3.0,12.0,7465.416666666667,2,3.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình hưng hoà a
12.0,4.0,48.0,5165.0,4,5.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà a
22.0,7.8,167.2,1991.25,2,1.0,1.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,phường bình hưng hòa
15.0,4.0,60.0,3055.4166666666665,4,3.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà b
16.0,4.0,64.0,4205.833333333333,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường bình hưng hoà b
9.0,4.0,37.0,4504.583333333333,2,2.0,2.0,nhà phố liền kề,đã có sổ,nội thất đầy đủ,phường bình trị đông b
15.0,4.0,60.0,2979.1666666666665,4,2.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường bình hưng hòa
9.0,4.0,36.0,4224.583333333333,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình hưng hòa
16.0,4.0,64.0,2786.6666666666665,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình trị đông a
16.0,4.0,64.0,3580.8333333333335,6,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường an lạc
17.0,4.0,68.0,4166.666666666667,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình trị đông
19.0,10.0,190.0,5263.333333333333,4,2.0,4.0,nhà biệt thự,đã có sổ,,phường bình trị đông b
8.031189202104505,8.031189202104505,64.5,5813.75,1,2.0,1.0,"nhà mặt phố, mặt tiền",đã có sổ,bàn giao thô,phường bình hưng hoà a
10.0,4.0,40.0,4010.4166666666665,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường bình hưng hoà a
14.0,5.0,70.0,2291.6666666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hoà b
10.0,4.0,40.0,2239.5833333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường tân tạo
10.0,4.0,40.0,4114.583333333333,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,phường bình hưng hoà a
10.0,4.0,40.0,2010.4166666666667,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường tân tạo
15.0,4.0,56.2,2965.4166666666665,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình hưng hoà b
11.0,4.0,44.0,2083.3333333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường tân tạo
14.0,5.0,70.0,3273.75,4,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà b
4.0,3.0,12.0,3298.75,2,1.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường an lạc
20.0,7.0,140.0,4464.166666666667,7,4.0,7.0,nhà biệt thự,đã có sổ,nội thất cao cấp,phường bình trị đông b
9.0,4.0,36.0,4190.0,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hoà a
10.0,4.0,40.0,2291.6666666666665,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường tân tạo
18.5,5.0,93.0,2464.1666666666665,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường bình trị đông
11.0,4.0,42.0,4365.0,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hoà b
12.0,4.3,50.0,4166.666666666667,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà a
20.0,5.0,100.0,7583.333333333333,5,3.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường tân tạo
10.0,4.0,40.0,3072.9166666666665,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình trị đông b
12.0,4.0,46.0,4510.833333333333,3,4.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường bình hưng hoà a
17.0,4.0,68.0,3063.75,4,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hòa
10.0,4.0,40.0,2395.8333333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông
14.0,4.2,58.8,4535.0,4,1.0,5.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hòa
3.3,3.0,10.0,2708.3333333333335,2,2.0,1.0,"nhà ngõ, hẻm",giấy tờ viết tay,,phường bình trị đông
8.5,4.0,34.8,3831.25,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường an lạc a
11.0,5.0,55.0,727.0833333333334,3,1.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường bình trị đông
