chieuDai,chieuNgang,dienTich,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,QuanHuyen
20.0,5.0,100.0,604.1666666666666,3,1.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 8
16.0,5.0,80.0,1718.75,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
15.0,8.0,117.4,4542.916666666667,8,5.0,7.0,nhà biệt thự,đã có sổ,hoàn thiện cơ bản,quận gò vấp
32.0,3.2,102.0,2982.0833333333335,3,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận tân phú
4.0,6.0,26.0,4295.0,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
10.0,4.0,10.0,1770.8333333333333,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện hóc môn
3.254228019054596,3.254228019054596,10.59,6688.75,2,3.0,1.0,"nhà ngõ, hẻm",đã có sổ,bàn giao thô,quận tân bình
6.0,3.5,21.0,1686.6666666666667,2,2.0,2.0,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,hoàn thiện cơ bản,quận 12
16.0,4.0,68.0,7843.333333333333,6,5.0,6.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận 6
11.0,3.7,40.0,8750.0,3,5.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 3
20.0,4.0,80.0,395.8333333333333,3,1.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
12.0,7.3,88.0,4687.5,4,1.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận gò vấp
12.0,4.0,48.0,2300.4166666666665,4,2.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận tân bình
6.6332495807108,6.6332495807108,44.0,2604.1666666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
16.0,4.0,65.0,1570.4166666666667,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình tân
7.0,3.0,20.0,4125.0,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
4.0,4.0,16.0,6250.0,2,3.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
14.5,3.6,52.2,8221.666666666666,3,4.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 10
15.0,3.3,41.7,6894.583333333333,4,3.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
15.0,4.0,60.0,3465.4166666666665,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
26.0,4.2,110.0,5189.583333333333,3,2.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,quận tân phú
11.5,4.5,51.75,7407.5,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
15.0,5.0,75.0,4777.916666666667,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
14.5,4.0,56.1,4307.916666666667,4,3.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 12
49.0,5.0,245.0,374.1666666666667,5,11.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,huyện củ chi
