chieuDai,chieuNgang,dienTich,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,QuanHuyen
25.0,4.0,100.0,1208.3333333333333,5,1.0,5.0,"nhà ngõ, hẻm",đã có sổ,,huyện bình chánh
10.0,6.0,60.0,4757.083333333333,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận gò vấp
20.0,5.0,100.0,312.5,3,1.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,,huyện bình chánh
15.0,3.3,41.7,6894.583333333333,4,3.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
60.0,10.0,600.0,3333.3333333333335,3,1.0,,"nhà mặt phố, mặt tiền",đã có sổ,,quận tân bình
12.0,4.0,48.0,5989.583333333333,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 3
14.5,4.0,58.1,5163.333333333333,4,5.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
11.5,4.1,45.1,3132.0833333333335,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
,,40.0,2187.5,2,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận bình tân
25.0,35.0,875.0,1166.6666666666667,5,2.0,6.0,nhà biệt thự,đã có sổ,nội thất cao cấp,huyện hóc môn
21.0,4.0,83.0,8433.75,5,,,"nhà mặt phố, mặt tiền",đã có sổ,,quận 7
,,70.0,3154.5833333333335,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận phú nhuận
16.0,3.5,55.0,4810.416666666667,4,4.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận gò vấp
25.0,5.3,135.0,5305.416666666667,4,2.0,,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận 6
17.0,4.0,68.0,3829.5833333333335,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
11.0,5.0,55.0,2727.0833333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 7
15.0,5.4,82.0,2490.0,2,,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 8
18.0,5.0,90.0,351.6666666666667,3,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,huyện bình chánh
20.0,4.0,80.0,3541.6666666666665,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện nhà bè
17.0,7.0,119.0,280.0,4,2.0,,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện bình chánh
20.0,5.0,100.0,400.0,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
15.0,4.0,60.0,5069.583333333333,4,,5.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
10.0,4.0,40.0,3020.8333333333335,3,,3.0,nhà phố liền kề,sổ chung / công chứng vi bằng,hoàn thiện cơ bản,quận 12
60.0,10.0,600.0,3333.3333333333335,3,1.0,,"nhà mặt phố, mặt tiền",đã có sổ,,quận tân bình
15.0,5.0,75.0,2583.3333333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
,,34.0,5024.583333333333,3,2.0,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình thạnh
12.0,4.0,48.0,5989.583333333333,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 3
14.5,4.0,58.1,5163.333333333333,4,5.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
11.5,4.1,45.1,3132.0833333333335,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
25.0,35.0,875.0,1166.6666666666667,5,2.0,6.0,nhà biệt thự,đã có sổ,nội thất cao cấp,huyện hóc môn
21.0,4.0,83.0,8433.75,5,,,"nhà mặt phố, mặt tiền",đã có sổ,,quận 7
16.0,3.5,55.0,4810.416666666667,4,4.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận gò vấp
17.0,4.0,68.0,3829.5833333333335,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
11.0,5.0,55.0,2727.0833333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 7
15.0,5.4,82.0,2490.0,2,,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 8
18.0,5.0,90.0,351.6666666666667,3,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,huyện bình chánh
20.0,4.0,80.0,3541.6666666666665,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện nhà bè
17.0,7.0,119.0,280.0,4,2.0,,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện bình chánh
20.0,5.0,100.0,400.0,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
15.0,4.0,60.0,5069.583333333333,4,,5.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
6.0,3.6,21.0,3551.6666666666665,2,2.0,,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
8.0,4.0,32.0,1562.5,2,2.0,1.0,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,nội thất đầy đủ,quận 12
20.0,5.0,100.0,333.3333333333333,2,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện bình chánh
10.0,6.0,60.0,4757.083333333333,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận gò vấp
9.0,3.0,27.0,6558.75,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
5.0,5.0,25.0,1666.6666666666667,2,,2.0,nhà phố liền kề,sổ chung / công chứng vi bằng,,huyện nhà bè
8.0,3.5,28.0,8184.583333333333,4,5.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 3
,,25.0,4250.0,2,,2.0,"nhà ngõ, hẻm",đã có sổ,,quận phú nhuận
11.5,7.0,80.0,3385.4166666666665,4,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,huyện nhà bè
12.0,7.0,80.0,3385.4166666666665,4,3.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện nhà bè
17.0,6.4,107.0,3037.5,6,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
17.0,3.0,51.0,7590.0,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận phú nhuận
5.0,3.0,15.0,3194.5833333333335,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận 3
18.0,5.3,93.9,5325.0,4,1.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
13.0,4.1,50.0,6233.333333333333,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
,,20.0,2645.8333333333335,3,,,"nhà ngõ, hẻm",đã có sổ,,quận 7
,,26.0,1842.9166666666667,2,,,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,,quận 12
,,26.0,1842.9166666666667,2,,,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,,quận 12
,6.0,28.0,14880.833333333334,4,5.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 10
9.0,3.4,29.0,18247.083333333332,2,3.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận 3
10.5,4.0,42.0,2976.25,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình tân
,,45.0,5370.416666666667,3,3.0,,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
9.0,3.0,27.0,6404.166666666667,2,2.0,,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
15.0,4.0,60.0,6597.083333333333,5,5.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận tân phú
10.0,4.0,40.0,7291.666666666667,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận tân bình
12.0,4.0,48.0,3211.6666666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 12
,,35.0,4642.916666666667,3,,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận bình thạnh
9.0,3.5,31.5,7142.916666666667,3,4.0,,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 6
18.0,4.0,72.0,2198.3333333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 12
20.0,10.0,200.0,1208.3333333333333,5,1.0,5.0,nhà biệt thự,đã có sổ,nội thất cao cấp,huyện hóc môn
5.0,7.0,40.0,6562.5,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 10
14.0,3.8,50.0,6625.0,4,,5.0,"nhà ngõ, hẻm",đã có sổ,,quận 7
17.0,4.0,67.0,3731.25,3,,2.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,quận tân phú
11.0,4.0,46.0,3432.9166666666665,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
,,70.0,2976.25,4,,,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
,,100.0,3329.1666666666665,3,4.0,5.0,nhà phố liền kề,đã có sổ,,huyện bình chánh
13.0,5.0,65.0,596.25,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 8
20.0,6.0,120.0,6076.25,2,,,"nhà mặt phố, mặt tiền",đã có sổ,,quận 7
,4.0,70.0,5059.583333333333,5,5.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
27.0,5.0,160.0,6120.0,5,3.0,7.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 7
