DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",3.2 m,2.5 m,16 m²,16 m²,16 m²,"- 38,75 triệu/m²",2 phòng,2,1 phòng,"Nhà ngõ, hẻm",Giấy tờ viết tay,Hẻm xe hơi,,Nội thất đầy đủ,620 triệu
"Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",,,50 m²,50 m²,,- 30 triệu/m²,2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"1,5 tỷ"
"Đường Bãi Sậy, Phường 8, Quận 6, Tp Hồ Chí Minh",12.5 m,3 m,41 m²,41 m²,78 m²,"- 73,17 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,3 tỷ
"Đường Trần Thị Bốc, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",10 m,4 m,40 m²,40 m²,,"- 41,25 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,,"1,65 tỷ"
"Đường Thống Nhất, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",,,41 m²,41 m²,,"- 104,15 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,27 tỷ"
"13/9, Hẻm 13 Trần Văn Hoàng, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",17 m,3.7 m,62.9 m²,62.9 m²,188 m²,"- 130,37 triệu/m²",6 phòng,4,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,2 tỷ"
"Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Tp Hồ Chí Minh",16 m,3 m,45 m²,45 m²,,"- 211,11 triệu/m²",3 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"9,5 tỷ"
"Đường Số 16, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",24 m,5 m,120 m²,120 m²,120 m²,"- 66,67 triệu/m²",5 phòng,1,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,8 tỷ
"Đường Trần Văn Kiểu, Phường 10, Quận 6, Tp Hồ Chí Minh",,,90 m²,,,"- 128,89 triệu/m²",6 phòng,4,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông,Hoàn thiện cơ bản,"11,6 tỷ"
"Đường An Phú Tây - Hưng Long, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",25 m,4 m,100 m²,100 m²,100 m²,"- 18,90 triệu/m²",3 phòng,2,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"1,89 tỷ"
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4.2 m,84.2 m²,84.2 m²,200 m²,"- 71,85 triệu/m²",4 phòng,4,4 phòng,Nhà phố liền kề,Đã có sổ,,,Hoàn thiện cơ bản,"6,05 tỷ"
