DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",25 m,4 m,100 m²,100 m²,,- 29 triệu/m²,5 phòng,1,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,9 tỷ"
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",10 m,6 m,60 m²,60 m²,190 m²,"- 114,17 triệu/m²",4 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Tây,Nội thất cao cấp,"6,85 tỷ"
"Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,100 m²,"- 7,50 triệu/m²",3 phòng,,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,750 triệu
"91/46, Hẻm 91 Đường Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,3.3 m,41.7 m²,41.7 m²,116 m²,"- 165,47 triệu/m²",4 phòng,3,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Đông,Nội thất cao cấp,"6,9 tỷ"
"Đường Âu Cơ, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",60 m,10 m,600 m²,600 m²,600 m²,- 80 triệu/m²,3 phòng,1,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Nhà nát,Nhà nở hậu",Tây,,48 tỷ
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,,"- 143,75 triệu/m²",3 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"6,9 tỷ"
"Đường Số 6, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",14.5 m,4 m,58.1 m²,58.1 m²,200 m²,"- 123,92 triệu/m²",4 phòng,5,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"7,2 tỷ"
"Trung Mỹ Tây, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",11.5 m,4.1 m,45.1 m²,45.1 m²,,"- 75,17 triệu/m²",2 phòng,2,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,39 tỷ"
"Đường Trần Thanh Mại, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",,,40 m²,40 m²,,"- 52,50 triệu/m²",2 phòng,1,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"2,1 tỷ"
"Đường Bùi Công Trừng, Xã Nhị Bình, Huyện Hóc Môn, Tp Hồ Chí Minh",25 m,35 m,875 m²,875 m²,875 m²,- 28 triệu/m²,5 phòng,2,6 phòng,Nhà biệt thự,Đã có sổ,,Đông Nam,Nội thất cao cấp,"24,5 tỷ"
