DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",19.3 m,6 m,116 m²,116 m²,240 m²,"- 7,07 triệu/m²",4 phòng,,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hiện trạng khác,Nhà nở hậu",,,820 triệu
"Lê Tuấn Mậu, Phường 13, Quận 6, Tp Hồ Chí Minh",,,124.7 m²,124.7 m²,,"- 208,50 triệu/m²",8 phòng,,Nhiều hơn 6 phòng,Nhà biệt thự,Đã có sổ,,,,26 tỷ
"50/2G, Đường Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh",26 m,6.1 m,177 m²,177 m²,,"- 29,10 triệu/m²",3 phòng,2,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"5,15 tỷ"
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",16.6 m,4 m,67 m²,67 m²,130.95 m²,"- 117,91 triệu/m²",2 phòng,2,,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,Đông,Nội thất đầy đủ,"7,9 tỷ"
"Nhà Mặt tiền, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",22.1 m,5.05 m,115.42 m²,115.42 m²,462.68 m²,"- 105,01 triệu/m²",4 phòng,4,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,,Hoàn thiện cơ bản,"12,12 tỷ"
"Hẻm 247 Bà Hạt, Phường 4, Quận 10, Tp Hồ Chí Minh",5 m,3 m,15 m²,15 m²,30 m²,- 150 triệu/m²,1 phòng,1,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"2,25 tỷ"
"Đường Số 8, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",14 m,4 m,56 m²,56 m²,,"- 78,57 triệu/m²",4 phòng,3,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Nam,,"4,4 tỷ"
"Đường Huỳnh Văn Bánh, Phường 17, Quận Phú Nhuận, Tp Hồ Chí Minh",13.5 m,4.6 m,59 m²,59 m²,,"- 111,86 triệu/m²",4 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"6,6 tỷ"
"Phan Huy Ích, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",18 m,4 m,72 m²,72 m²,250 m²,"- 103,47 triệu/m²",5 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Tây,Nội thất đầy đủ,"7,45 tỷ"
"Đường Tân Thới Hiệp 13, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",18 m,4 m,72 m²,72 m²,210 m²,"- 77,08 triệu/m²",4 phòng,3,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Bắc,Nội thất đầy đủ,"5,55 tỷ"
"Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",32 m,5 m,155 m²,155 m²,500 m²,"- 117,42 triệu/m²",nhiều hơn 10 phòng,4,Nhiều hơn 6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây Nam,Nội thất đầy đủ,"18,2 tỷ"
"Đường Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh",16 m,4.2 m,67 m²,67 m²,,"- 231,34 triệu/m²",4 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,,"15,5 tỷ"
"Hẻm 842 Tỉnh lộ 10, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",8 m,4 m,32 m²,32 m²,,- 65 triệu/m²,2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,Hoàn thiện cơ bản,"2,08 tỷ"
"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",10 m,4.5 m,45 m²,45 m²,95 m²,"- 52,22 triệu/m²",2 phòng,1,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,"2,35 tỷ"
"1508/15/11/2, Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",10 m,3.2 m,32 m²,32 m²,64 m²,"- 50,94 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"1,63 tỷ"
"Đường Lương Văn Can, Phường 15, Quận 8, Tp Hồ Chí Minh",26.5 m,6.5 m,173 m²,173 m²,,"- 64,16 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nát",,Hoàn thiện cơ bản,"11,1 tỷ"
"Đường Nguyễn Thượng Hiền, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",9.5 m,3.4 m,32 m²,32 m²,56 m²,"- 140,62 triệu/m²",2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"4,5 tỷ"
"Xxx, Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",15 m,4 m,65 m²,65 m²,190 m²,"- 170,94 triệu/m²",5 phòng,3,4 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,Tây Bắc,,"11,111 tỷ"
"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Tp Hồ Chí Minh",13 m,3.1 m,40 m²,40 m²,120 m²,"- 96,25 triệu/m²",3 phòng,3,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"3,85 tỷ"
"Tôn Tất Thuyết, Phường 15, Quận 4, Tp Hồ Chí Minh",8 m,3 m,28 m²,28 m²,56 m²,"- 85,71 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,4 tỷ"
"Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",13 m,3.7 m,47 m²,47 m²,,"- 287,23 triệu/m²",4 phòng,5,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,,"13,5 tỷ"
