DiaChi,chieuDai,chieuNgang,dienTich,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Trịnh Quang Nghị, Phường 8, Quận 8, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,"- 14,50 triệu/m²",3 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,Nội thất đầy đủ,"1,45 tỷ"
"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",16 m,5 m,80 m²,80 m²,"- 41,25 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,,"3,3 tỷ"
"119/9, Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",15 m,8 m,117.4 m²,440 m²,"- 109,03 triệu/m²",8 phòng,5.0,Nhiều hơn 6 phòng,Nhà biệt thự,Đã có sổ,Hẻm xe hơi,Tây,Hoàn thiện cơ bản,"12,8 tỷ"
"607, Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",32 m,3.2 m,102 m²,120 m²,"- 71,57 triệu/m²",3 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Nhà dính quy hoạch / lộ giới,Nhà nở hậu",,Nội thất đầy đủ,"7,3 tỷ"
"Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",4 m,6 m,26 m²,,"- 103,08 triệu/m²",2 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Nội thất đầy đủ,"2,68 tỷ"
"Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",10 m,4 m,10 m²,80 m²,"- 42,50 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,425 triệu
"Hẻm 76 Xuân Diệu , Xuân Diệu, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",,,10.59 m²,31.77 m²,"- 160,53 triệu/m²",2 phòng,3.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây,Bàn giao thô,"1,7 tỷ"
"Hiệp Thành 07, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",6 m,3.5 m,21 m²,40 m²,"- 40,48 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,Hoàn thiện cơ bản,850 triệu
"Số 6, Phường 11, Quận 6, Tp Hồ Chí Minh",16 m,4 m,68 m²,400 m²,"- 188,24 triệu/m²",6 phòng,5.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"12,8 tỷ"
"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",11 m,3.7 m,40 m²,40 m²,- 210 triệu/m²,3 phòng,5.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"8,4 tỷ"
"Cần Bán Nhà Đường 244, Tăng Nhơn Phú B, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15 m,5.2 m,77 m²,,"- 84,42 triệu/m²",3 phòng,1.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Bắc,Nội thất cao cấp,"6,5 tỷ"
"Đường cao tốc Bến Lức - Long Thành, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,4 m,80 m²,,"- 9,50 triệu/m²",3 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,760 triệu
"Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,7.3 m,88 m²,71 m²,"- 112,50 triệu/m²",4 phòng,,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"9,9 tỷ"
"Cây Trâm, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",16 m,4 m,48 m²,,"- 120,83 triệu/m²",3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông,Nội thất cao cấp,"5,8 tỷ"
"Đường Số 13 Bình Chiểu, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",18 m,5 m,83 m²,,"- 78,31 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Nam,Nội thất cao cấp,"6,5 tỷ"
"Số, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15.2 m,4 m,62.4 m²,,"- 104,17 triệu/m²",4 phòng,,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"6,5 tỷ"
"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",32 m,5 m,178 m²,350 m²,"- 165,17 triệu/m²",4 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"29,4 tỷ"
"Đường Hòa Hảo, Phường 7, Quận 10, Tp Hồ Chí Minh",13 m,4 m,53 m²,53 m²,"- 61,32 triệu/m²",4 phòng,,,Nhà phố liền kề,Đã có sổ,,,,"3,25 tỷ"
"Thép Mới, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,"- 55,21 triệu/m²",4 phòng,2.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"2,65 tỷ"
"TCH 18, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",,,44 m²,70 m²,"- 62,50 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"2,75 tỷ"
