DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Bạch Đằng, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",15 m,4 m,60 m²,60 m²,,"- 208,33 triệu/m²",2 phòng,1,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"12,5 tỷ"
"Đường số 1, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",9.5 m,4.5 m,41.9 m²,41.9 m²,119.3 m²,"- 115,75 triệu/m²",3 phòng,3,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"4,85 tỷ"
"Đường Đôi Tân Kiểng, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",,,80 m²,80 m²,,"- 186,25 triệu/m²",3 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"14,9 tỷ"
"Đường Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",7 m,2.9 m,18 m²,18 m²,,"- 73,33 triệu/m²",1 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,32 tỷ"
"Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,,,- 75 triệu/m²,4 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"4,5 tỷ"
"Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",20 m,4 m,80 m²,80 m²,140 m²,"- 108,74 triệu/m²",4 phòng,2,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu,Nhà nát",Đông Bắc,Hoàn thiện cơ bản,"8,699 tỷ"
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",9 m,5 m,45 m²,45 m²,90 m²,"- 91,11 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Nam,,"4,1 tỷ"
"Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",15 m,4 m,57 m²,57 m²,200 m²,"- 140,35 triệu/m²",5 phòng,4,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Đông Nam,Nội thất đầy đủ,"7,999 tỷ"
,,,,,,,,,,,,,,,
"Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",14 m,4 m,56 m²,56 m²,140 m²,"- 78,57 triệu/m²",4 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"4,4 tỷ"
"Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",16 m,4 m,62 m²,62 m²,,"- 91,94 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,7 tỷ"
"Đường Tôn Thất Thuyết, Phường 16, Quận 4, Tp Hồ Chí Minh",12 m,4.8 m,50 m²,50 m²,115 m²,- 124 triệu/m²,3 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"6,2 tỷ"
"Tôn Đản, Phường 15, Quận 4, Tp Hồ Chí Minh",3 m,4.25 m,12.8 m²,12.8 m²,26.3 m²,"- 101,56 triệu/m²",1 phòng,2,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà dính quy hoạch / lộ giới,Tây Nam,Bàn giao thô,"1,3 tỷ"
"Đường Đoàn Văn Bơ, Phường 14, Quận 4, Tp Hồ Chí Minh",24 m,4 m,98 m²,98 m²,168 m²,"- 89,80 triệu/m²",4 phòng,33,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"8,8 tỷ"
"Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",,,100 m²,100 m²,100 m²,"- 49,80 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,98 tỷ"
