DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Lê Lợi, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",13 m,4.2 m,50 m²,50 m²,200 m²,- 164 triệu/m²,5 phòng,3,,Nhà phố liền kề,Đã có sổ,,,,"8,2 tỷ"
"Phạm văn đồng, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",8 m,4 m,32 m²,32 m²,,"- 14,69 triệu/m²",2 phòng,1,,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,,470 triệu
"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m,5 m,80 m²,80 m²,80 m²,"- 8,56 triệu/m²",2 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,685 triệu
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",5 m,5 m,48.34 m²,48.34 m²,,"- 64,13 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông,Nội thất cao cấp,"3,1 tỷ"
"Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",20 m,4 m,80 m²,80 m²,,- 65 triệu/m²,3 phòng,2,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Bắc,Nội thất đầy đủ,"5,2 tỷ"
"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",17 m,5 m,85 m²,,,"- 7,88 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,670 triệu
"phía sau trường tiểu học Cầu Xáng, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",10 m,6 m,60 m²,60 m²,,"- 6,67 triệu/m²",1 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,400 triệu
"Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12 m,7 m,84 m²,84 m²,124.5 m²,"- 57,02 triệu/m²",3 phòng,2,3 phòng,Nhà phố liền kề,Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Đông Bắc,Nội thất đầy đủ,"4,79 tỷ"
An Phú đông 03,12 m,4.5 m,52 m²,52 m²,100 m²,"- 42,12 triệu/m²",3 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,Hoàn thiện cơ bản,"2,19 tỷ"
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",16 m,9.85 m,157.1 m²,157.1 m²,600 m²,"- 82,11 triệu/m²",nhiều hơn 10 phòng,4,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Nam,Nội thất đầy đủ,"12,9 tỷ"
"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",18 m,4.2 m,63 m²,63 m²,250 m²,"- 187,30 triệu/m²",4 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"11,8 tỷ"
"Đường số 12, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,4 m,42 m²,42 m²,,"- 64,29 triệu/m²",2 phòng,2,,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,7 tỷ"
"Đường số 12, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,4 m,42 m²,42 m²,,"- 64,29 triệu/m²",2 phòng,2,,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,7 tỷ"
"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",25 m,4 m,100 m²,100 m²,250 m²,- 65 triệu/m²,9 phòng,3,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,5 tỷ"
Đường B,20 m,5 m,100 m²,100 m²,300 m²,- 128 triệu/m²,5 phòng,4,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Hoàn thiện cơ bản,"12,8 tỷ"
"Hẻm 2 Tô Ngọc Vân, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",13 m,4 m,53 m²,53 m²,67 m²,"- 66,04 triệu/m²",2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,Nội thất đầy đủ,"3,5 tỷ"
"Thành Mỹ Lợi, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",16 m,4 m,69 m²,69 m²,69 m²,"- 98,55 triệu/m²",3 phòng,3,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"6,8 tỷ"
"Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",16 m,5 m,80 m²,80 m²,300 m²,"- 106,25 triệu/m²",4 phòng,4,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu,Nhà dính quy hoạch / lộ giới",Tây,Hoàn thiện cơ bản,"8,5 tỷ"
