DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Nhiêu Tứ, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh",,,40 m²,,,"- 192,50 triệu/m²",3 phòng,4,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Nam,Nội thất cao cấp,"7,7 tỷ"
"42, Đường số 6D, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",,,90 m²,,,"- 168,89 triệu/m²",3 phòng,2,4 phòng,Nhà phố liền kề,Đã có sổ,,Tây,Nội thất cao cấp,"15,2 tỷ"
"Đường Nguyễn Hữu Trí, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh",16.5 m,5 m,85 m²,85 m²,,"- 9,12 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,775 triệu
"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",11 m,8 m,88 m²,88 m²,150 m²,"- 100,57 triệu/m²",nhiều hơn 10 phòng,3,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Bắc,Nội thất đầy đủ,"8,85 tỷ"
"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",22 m,5 m,110 m²,110 m²,220 m²,- 50 triệu/m²,3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,5 tỷ"
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",21 m,4 m,84 m²,84 m²,242 m²,"- 82,14 triệu/m²",4 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"6,9 tỷ"
"Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",10 m,5.8 m,48 m²,48 m²,85 m²,"- 116,67 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông,Nội thất đầy đủ,"5,6 tỷ"
"Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",,,83 m²,83 m²,,"- 93,98 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"7,8 tỷ"
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",17 m,4 m,63 m²,63 m²,163.6 m²,"- 88,89 triệu/m²",4 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Nam,Hoàn thiện cơ bản,"5,6 tỷ"
"Đường 3 Tháng 2, Phường 10, Quận 10, Tp Hồ Chí Minh",,,38 m²,38 m²,,"- 197,37 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"7,5 tỷ"
