DiaChi,chieuDai,chieuNgang,dienTich,dienTichDat,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",20 m,23 m,345 m²,345 m²,1000 m²,"- 126,09 triệu/m²",nhiều hơn 10 phòng,5,Nhiều hơn 6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất cao cấp,"43,5 tỷ"
"54/71, 264 Lê Văn Lương, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",,,24 m²,,,"- 87,50 triệu/m²",2 phòng,2,2 phòng,Nhà biệt thự,Đã có sổ,,Nam,Nội thất đầy đủ,"2,1 tỷ"
"Đường Lê Tấn Bê, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",20 m,7 m,140 m²,140 m²,140 m²,"- 49,99 triệu/m²",2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"6,999 tỷ"
"Đường Mai Xuân Thưởng, Phường 6, Quận 6, Tp Hồ Chí Minh",18 m,3.5 m,64.4 m²,64.4 m²,52.4 m²,"- 133,54 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Bắc,Hoàn thiện cơ bản,"8,6 tỷ"
"Đường Ba Tháng Hai, Phường 14, Quận 10, Tp Hồ Chí Minh",4 m,4.3 m,17.2 m²,17.2 m²,,"- 174,42 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,3 tỷ
"Đường Chiến Lược, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",8 m,4 m,32 m²,,32 m²,- 75 triệu/m²,2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,4 tỷ"
"Đường Tân Long, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",,,141 m²,141 m²,,"- 9,22 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"1,3 tỷ"
"Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,115 m²,"- 114,58 triệu/m²",5 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"5,5 tỷ"
"Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",14.6 m,5.5 m,80.4 m²,80.4 m²,,"- 11,01 triệu/m²",2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,885 triệu
"Đường Trần Thị Hè, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",32 m,4 m,124 m²,124 m²,189 m²,"- 55,65 triệu/m²",3 phòng,2,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Nam,Nội thất đầy đủ,"6,9 tỷ"
"Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",,,80 m²,80 m²,,"- 96,25 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"7,7 tỷ"
"Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",17 m,4 m,65 m²,65 m²,65 m²,"- 30,77 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,2 tỷ
"Đường Hòa Hưng, Phường 12, Quận 10, Tp Hồ Chí Minh",,,55 m²,55 m²,131 m²,"- 161,82 triệu/m²",3 phòng,3,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"8,9 tỷ"
"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",19 m,4.5 m,86 m²,86 m²,,- 100 triệu/m²,2 phòng,,2 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,,"8,6 tỷ"
"Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m,5 m,81.2 m²,81.2 m²,81.2 m²,"- 10,47 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,850 triệu
"Hẻm 300 Bùi Văn Ngữ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",12.5 m,4 m,50 m²,50 m²,200 m²,- 104 triệu/m²,4 phòng,4,4 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"5,2 tỷ"
"Đường Số 7, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",16 m,4 m,60 m²,60 m²,,"- 94,17 triệu/m²",3 phòng,,3 phòng,Nhà phố liền kề,Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"5,65 tỷ"
"Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",20 m,8 m,80 m²,80 m²,,"- 41,12 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,29 tỷ"
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",,,60 m²,60 m²,,"- 18,33 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"1,1 tỷ"
"Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",8.1 m,4 m,32.5 m²,32.5 m²,,"- 107,69 triệu/m²",4 phòng,4,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,5 tỷ"
"Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",14 m,5 m,70 m²,70 m²,210 m²,"- 74,29 triệu/m²",6 phòng,4,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,2 tỷ"
"Đường Số 8, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",18 m,4 m,72 m²,72 m²,250 m²,"- 88,89 triệu/m²",5 phòng,4,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông Bắc,,"6,4 tỷ"
"Đường số 8, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,40 m²,,- 80 triệu/m²,2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,2 tỷ"
"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",12 m,4.3 m,51 m²,51 m²,192 m²,"- 146,08 triệu/m²",6 phòng,4,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"7,45 tỷ"
"Hẻm 413, Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",7.55 m,5 m,38 m²,38 m²,159.8 m²,"- 407,89 triệu/m²",3 phòng,4,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Nam,Nội thất đầy đủ,"15,5 tỷ"
"Đường số 8, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",23 m,5.2 m,120 m²,120 m²,120 m²,"- 104,17 triệu/m²",5 phòng,1,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,"12,5 tỷ"
"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",10 m,4 m,40 m²,40 m²,80 m²,- 60 triệu/m²,2 phòng,1,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây,Hoàn thiện cơ bản,"2,4 tỷ"
"Tân THỚI Nhất Q12, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12 m,4.8 m,57 m²,57 m²,,"- 78,95 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,,"4,5 tỷ"
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",7 m,4 m,28 m²,28 m²,,"- 67,14 triệu/m²",2 phòng,2,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"1,88 tỷ"
